File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\src\com\sleepycat\bind\tuple\TupleBinding.java,113,39,32,2,20,0,54,310,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\src\com\sleepycat\bind\tuple\TupleInput.java,382,136,100,29,46,0,200,1618,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\src\com\sleepycat\bind\tuple\TupleInputBinding.java,33,14,10,1,8,0,11,82,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\src\com\sleepycat\bind\tuple\TupleMarshalledBinding.java,56,29,21,2,10,0,17,121,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\src\com\sleepycat\bind\tuple\TupleOutput.java,336,112,87,22,44,0,180,1388,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\src\com\sleepycat\bind\tuple\TupleTupleBinding.java,75,24,19,1,16,0,35,192,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\src\com\sleepycat\bind\tuple\TupleTupleKeyCreator.java,100,37,28,7,12,0,51,353,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\src\com\sleepycat\bind\tuple\TupleTupleMarshalledBinding.java,75,43,31,5,12,0,20,139,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\src\com\sleepycat\bind\tuple\TupleTupleMarshalledKeyCreator.java,54,24,18,4,12,0,18,132,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\src\com\sleepycat\compat\DbCompat.java,309,188,133,28,116,0,5,34,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\src\com\sleepycat\je\CheckpointConfig.java,63,21,15,2,18,0,24,114,0,0
