TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
cz.cacek.ebook.Common,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.953921568627451,149,147
cz.cacek.ebook.Common,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.953921568627451,149,147
cz.cacek.ebook.Common,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.953921568627451,149,147
cz.cacek.ebook.Common,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.953921568627451,149,147
com.substanceofcode.utils.Base64,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.856553669607467,670,624
com.substanceofcode.utils.SortUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8502245196324143,238,213
