File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\EnvironmentConfig.java,281,116,83,14,62,0,103,472,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\EnvironmentMutableConfig.java,350,172,126,26,68,0,110,503,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\EnvironmentStats.java,1298,481,372,52,318,0,499,1878,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\ForeignKeyDeleteAction.java,44,14,11,1,14,0,16,76,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\ForeignKeyNullifier.java,17,5,4,0,4,0,8,38,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\ForeignKeyTrigger.java,32,19,13,1,13,0,0,0,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\ForeignMultiKeyNullifier.java,17,5,4,0,4,0,8,38,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\JEVersion.java,103,45,36,7,26,0,32,152,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\JoinConfig.java,56,22,15,3,14,0,20,99,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\JoinCursor.java,249,160,118,27,36,0,53,305,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\LockMode.java,59,16,13,1,18,0,25,116,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\LockNotGrantedException.java,30,16,11,0,10,0,4,19,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\LockStats.java,221,87,67,9,54,0,80,269,0,0
