Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests2\com\sleepycat\je\cleaner,20,2511,1876,1375,0,396,0,239,806,90,430
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests2\com\sleepycat\je\config,12,1048,748,552,0,177,0,123,488,54,258
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests2\com\sleepycat\je\dbi,33,2882,1980,1436,0,500,0,402,1324,149,715
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests2\com\sleepycat\je\evictor,1,46,30,21,0,11,0,5,27,5,27
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests2\com\sleepycat\je\latch,10,460,300,210,0,110,0,50,270,50,270
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests2\com\sleepycat\je\log,77,7208,5040,3699,0,1199,0,969,3153,349,1683
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests2\com\sleepycat\je\log\entry,16,2680,1952,1503,0,361,0,367,1059,72,344
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests2\com\sleepycat\je\recovery,13,1286,932,661,0,229,0,125,477,60,296
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests2\com\sleepycat\je\tree,64,7671,5524,4050,0,1183,0,964,3259,290,1398
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests2\com\sleepycat\je\txn,49,4131,2933,2128,0,728,0,470,1722,221,1059
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests2\com\sleepycat\je\util,13,2677,1423,1073,0,270,0,984,1479,59,285
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests2\com\sleepycat\je\utilint,34,2262,1536,1105,0,418,0,308,1049,153,731
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests2\com\sleepycat\util,14,2401,1709,1245,0,349,0,343,785,63,301
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests3,501,51326,35769,26204,0,8211,0,7346,22031,2268,10920
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests3\com,501,51326,35769,26204,0,8211,0,7346,22031,2268,10920
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests3\com\sleepycat,501,51326,35769,26204,0,8211,0,7346,22031,2268,10920
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests3\com\sleepycat\bind,74,7691,5236,3849,0,1218,0,1237,3401,333,1591
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests3\com\sleepycat\bind\serial,24,1419,932,680,0,268,0,219,748,108,516
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests3\com\sleepycat\bind\tuple,42,5558,3836,2821,0,832,0,890,2278,189,903
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests3\com\sleepycat\compat,2,798,553,390,0,110,0,135,321,9,43
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests3\com\sleepycat\je,411,40566,28348,20780,0,6551,0,5667,17587,1863,8985
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests3\com\sleepycat\je\cleaner,20,2828,2135,1578,0,424,0,269,892,90,430
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests3\com\sleepycat\je\config,12,1076,771,570,0,180,0,125,477,54,258
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests3\com\sleepycat\je\dbi,33,3369,2398,1767,0,548,0,423,1357,149,715
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests3\com\sleepycat\je\incomp,1,46,30,21,0,11,0,5,27,5,27
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests3\com\sleepycat\je\latch,10,460,300,210,0,110,0,50,270,50,270
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests3\com\sleepycat\je\log,81,7453,5222,3859,0,1241,0,990,3262,368,1780
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests3\com\sleepycat\je\log\entry,16,2817,2087,1624,0,369,0,361,1056,72,344
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests3\com\sleepycat\je\recovery,13,1254,902,633,0,227,0,125,466,60,296
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests3\com\sleepycat\je\tree,64,7902,5707,4192,0,1206,0,989,3440,290,1398
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests3\com\sleepycat\je\txn,50,4698,3366,2450,0,801,0,531,1988,225,1075
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests3\com\sleepycat\je\util,12,2794,1447,1087,0,263,0,1084,1586,54,258
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests3\com\sleepycat\je\utilint,33,2276,1560,1125,0,419,0,297,1020,149,715
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests3\com\sleepycat\util,14,2271,1632,1185,0,332,0,307,722,63,301
