TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.prevayler.PrevaylerFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7991718426501034,317,269
org.prevayler.PrevaylerFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8043801759834368,318,271
org.prevayler.foundation.FileLocker,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8410409035409034,68,56
org.prevayler.foundation.FileManager,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.94921875,70,57
org.prevayler.implementation.publishing.CentralPublisher,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8891924230192596,143,123
org.prevayler.implementation.publishing.CentralPublisher,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8891924230192596,143,123
org.prevayler.implementation.snapshot.NullSnapshotManager,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,13,12
